"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009141","nucleoside triphosphate metabolic process","21/744","296/28832",0.0709459459459459,2.74934612031386,4.92357962874347,3.27052100737765e-05,0.000306581061839734,0.000171622661829642,"Ak2/Eno1/Eno1b/Fbp1/Fignl1/Gale/Gapdh/Hk3/Ifng/Igf1/Il4/Itpa/Ldhc/Myh7/Nme1/Nme2/Nme7/Pgk1/Ppara/Trem2/Tyms",21
"GO:0002691","regulation of cellular extravasation","8/744","49/28832",0.163265306122449,6.32696949747641,6.07387896976361,3.35140822243414e-05,0.000313004214427336,0.000175218312969367,"Adam8/Ccl2/Ccr2/Ptafr/Ptger4/Sele/Selp/St3gal4",8
"GO:1905521","regulation of macrophage migration","8/744","49/28832",0.163265306122449,6.32696949747641,6.07387896976361,3.35140822243414e-05,0.000313004214427336,0.000175218312969367,"C3ar1/Ccl2/Ccr2/Cd200r1/Mmp28/Slamf8/Thbs1/Trem2",8
"GO:0002544","chronic inflammatory response","6/744","25/28832",0.24,9.30064516129032,6.7575419358466,3.36907226322667e-05,0.000314074471389566,0.000175817437871594,"Adora2b/Ccl11/Ccl2/Gja1/Il10/Il4",6
"GO:0000070","mitotic sister chromatid segregation","16/744","189/28832",0.0846560846560847,3.28065085054332,5.11960396248144,3.46698254780427e-05,0.000322607824576934,0.000180594369556677,"Cdca5/Cdk1/Kif22/Kif2c/Knl1/Knstrn/Kntc1/Nsl1/Numa1/Prc1/Ska1/Spc24/Spc25/Spdl1/Trip13/Ube2c",16
"GO:0006163","purine nucleotide metabolic process","28/744","465/28832",0.0602150537634409,2.33349520175743,4.7181000057222,3.53830274489062e-05,0.000328640155864887,0.000183971240738688,"Acacb/Adora2b/Ak2/Eno1/Eno1b/Fbp1/Fignl1/Fmo2/Gale/Gapdh/Gda/Hk3/Ifng/Igf1/Il4/Itpa/Kynu/Ldhc/Me1/Myh7/Ncf2/Nme1/Nme2/Nme7/Pgk1/Ppara/Rora/Trem2",28
"GO:0045926","negative regulation of growth","19/744","253/28832",0.075098814229249,2.91028092991627,4.96695126938029,3.55329064406356e-05,0.000329427788282962,0.000184412153726992,"Adrb2/Bdkrb1/Ccr5/Cgref1/Dcstamp/Eno1/Eno1b/Fbp1/Gja1/Inhba/Lgmn/Mt1/Mt2/Plac8/Ppara/Rgma/Rgs4/Smarca2/Tmprss4",19
"GO:0045669","positive regulation of osteoblast differentiation","10/744","79/28832",0.126582278481013,4.90540356608139,5.65709920236859,3.56713231390936e-05,0.000330106467513879,0.000184792075224555,"Acvr2b/Bmp6/Fam20c/Hey1/Igf1/Il6/Lrp5/Ptger4/Scube2/Zhx3",10
"GO:0060419","heart growth","13/744","131/28832",0.099236641221374,3.84568661249282,5.31288134630937,3.6036879426572e-05,0.000332880809593627,0.000186345139101675,"Acacb/Adra1a/Akap13/Cdk1/Gja1/Igf1/Myh10/Notch1/Pim1/Ppara/Rgs4/S1pr1/Tgfbr3",13
"GO:0002833","positive regulation of response to biotic stimulus","27/744","441/28832",0.0612244897959184,2.37261356155365,4.72751753009834,3.65210315347886e-05,0.000334916921949485,0.000187484945390425,"Adam8/Arg1/Bmp6/Casp4/Cd14/Cd300a/Clec7a/Cxcl1/Cyba/Emilin2/Ffar2/Il21/Irf4/Kcnk13/Ly86/Mmp12/Nr1d1/Pycard/S100a14/Scimp/Spi1/Tlr4/Tnip3/Trem2/Tril/Trim56/Tyrobp",27
"GO:0019915","lipid storage","12/744","113/28832",0.106194690265487,4.1153297173851,5.4002578315722,3.65219559296949e-05,0.000334916921949485,0.000187484945390425,"Acacb/C3/Ces1g/Cry2/Ffar2/Mest/Msr1/Pla2g4c/Ppara/Smim22/Trem2/Vstm2a",12
