"gene_id","Control72h1","Control72h2","Control72h3","OVA72h1","OVA72h2","OVA72h3","OVA72h4"
"Tbck",5.297415396,5.109576951,6.141675697,4.632995579,4.848635073,4.851280454,4.774135314
"Tbk1",31.73429565,37.01320324,34.78168327,30.35123622,31.05821867,31.05742103,32.01024941
"Tbkbp1",7.98785852,7.42294655,10.20843677,3.546883341,4.470529037,4.790017147,5.410916117
"Tbl1x",7.573484152,8.161943437,8.196872115,5.171160827,6.011286717,5.405866914,5.78549489
"Tbl1xr1",23.5878048,26.19739258,25.49153274,23.98764027,24.37255632,23.23877358,24.06349443
"Tbl2",15.28033437,15.65886158,16.15397922,21.57664808,17.07131634,17.56750263,19.56254323
"Tbl3",6.34295072,6.17454632,6.419794249,7.736819706,7.531939496,7.239853082,9.865283889
"Tbp",18.05719292,17.8581337,20.91015136,18.99954695,21.42639682,20.18676694,18.86914631
"Tbpl1",10.60116769,10.21436233,9.897313317,10.1897202,10.54473786,10.79947906,9.589399805
"Tbpl2",0,0,0,0,0,0,0
"Tbr1",0.023111798,0,0,0,0,0,0
"Tbrg1",24.4074177,23.08651978,22.15601782,24.12625216,24.88651399,26.94849922,27.40487299
"Tbrg4",7.847896197,11.35612972,8.576502063,10.36404157,10.46078352,11.11387129,12.11770877
"Tbx1",4.524449164,5.504799375,3.815591175,3.613683409,2.037257792,3.666760412,4.221378284
"Tbx10",0,0,0,0,0,0,0
"Tbx15",0.070373882,0.09943113,0.158222311,0.071144364,0.034433208,0,0
"Tbx18",0.166841423,0.257540725,0.183732849,0.087758179,0.052275543,0.125389844,0.054842294
"Tbx19",0,0,0,0,0,0,0
"Tbx2",88.36052689,81.00737388,121.4246621,45.86632191,53.90842043,50.32972983,59.52337466
"Tbx20",0.22437401,0.488374846,0.154890524,0.159851029,0,0.073677636,0.153914374
"Tbx21",0.3665647,0.564372927,0.267727856,0.648183203,0.490654579,0.750695307,0.418900485
"Tbx22",0,0,0,0,0,0,0
"Tbx3",45.76771093,40.52227585,60.24256461,21.05253857,23.66205557,23.22440374,24.61860218
"Tbx4",38.2461757,36.55149275,52.41862936,21.18121954,22.81330876,19.81706194,28.19351598
"Tbx5",15.23739361,15.34562706,21.35235974,8.157744975,8.742786878,9.211157062,10.0232821
"Tbx6",2.018798638,0.800563387,2.447086507,0.625193799,0.959974285,0.975639917,1.058379563
"Tbxa2r",0.5285305,0.76913139,0.881557518,0.592978771,0.55843257,0.648846599,0.702178343
"Tbxas1",1.747483315,1.809847322,1.245154262,7.995752316,6.243879936,5.212967274,6.083338534
"Tc2n",6.128522239,6.860098295,2.807476703,7.306918708,6.89537631,3.673096366,7.620054861
